name,strategy_label,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,wfo_windows,oos_total_trades,oos_mean_sharpe,oos_mean_win_rate,oos_total_return_pct,oos_profit_factor,time_stop_minutes,sl_atr,tp_atr,trailing_act,trailing_off,passes_gates,failure_reasons
MTF_T0.003_V40.0_RSI40_60_TS720,multi_timeframe_regime,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.5,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MTF_T0.003_V40.0_RSI40_60_TS1440,multi_timeframe_regime,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.5,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MTF_T0.003_V40.0_RSI35_65_TS720,multi_timeframe_regime,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.5,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MTF_T0.003_V40.0_RSI35_65_TS1440,multi_timeframe_regime,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.5,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MTF_T0.003_V60.0_RSI40_60_TS720,multi_timeframe_regime,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.5,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MTF_T0.003_V60.0_RSI40_60_TS1440,multi_timeframe_regime,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.5,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MTF_T0.003_V60.0_RSI35_65_TS720,multi_timeframe_regime,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.5,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MTF_T0.003_V60.0_RSI35_65_TS1440,multi_timeframe_regime,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.5,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MTF_T0.005_V40.0_RSI40_60_TS720,multi_timeframe_regime,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,720,2.5,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
MTF_T0.005_V40.0_RSI40_60_TS1440,multi_timeframe_regime,BTCUSDT,4h,2024-02-03T04:00:00+00:00,2026-04-06T12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,1440,2.5,4.5,1.5,1.0,False,"oos_trades,oos_sharpe,oos_win_rate"
